,a01,a02,a02agesquared,a03,a04,a05,a05new,a06,a07,a08,a08new,a09,a09new,a10,a10new,address,adr85_19,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,block,c01,c01new,c02,c02new,c03,c04,c04new,c05,c06,c07,c08,c09,c09new,c10,c10new,c11,c11new,c12,c12new,c13,c13new,c14,c14new,d01,d02,daramad,daramad01,daramad02,daramad03,daramad04,daramad05,daramad06,daramad09,daramad10,daramad11,daramad12,daramad16,f_segment,fa_strata_new,fasl,ghazineh,hhold_id,id_hhold_psu,id_tarh,nhazineh,sathezirbana,vgheirehkhorak,vkhorak,weight
1,1,51,2601,1,2,313,6,1,1,7212,7,2812,4,4,5,1000020061,1.02168E+15,1,0,5,21,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,4,0,0,0,0,0,14,1,0,24,82000,4,4,4,4,1,1,1,1,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,5,184,196699996,0,0,0,101859996,26820000,111000000,0,0,20020000,48000000,20020000,1,1112,4,418652000,4,20,18,406652000,10,352220000,66432000,730.0405556
3,1,57,3249,1,2,313,6,1,1,4190,4,2899,4,4,5,1000020069,1.02168E+15,1,0,4,15,3,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82000,3,3,3,3,0,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,184,237724000,0,0,0,135700000,20184000,144000000,0,0,21840000,60000000,21840000,1,1112,4,329088200,2,20,18,259088200,7,274712600,54375600,730.0405556
8,1,59,3481,1,2,522,7,1,1,3152,3,3190,4,4,5,1000021250,1.02168E+15,1,0,4,20,3,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,72012,3,3,3,3,0,2,2,3,5,5,9,5,5,5,5,9,9,5,5,4,5,9,9,5,184,342388649,0,0,0,53795140,12013509,56232652,84000000,0,162580000,30000000,12580000,1,1112,1,119889792,2,21,19,119889792,10,83379792,36510000,730.0405556
9,1,26,676,1,2,214,6,1,1,3435,3,6512,10,3,3,1000021251,1.02168E+15,3,0,3,10,3,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,72012,2,2,2,2,0,1,1,1,3,5,7,4,3,5,5,7,6,3,3,4,4,7,7,5,184,142701138,81212836,19198302,87405664,0,0,0,0,0,42290000,0,6290000,1,1112,1,119738698,1,21,19,89738698,5,105020698,14718000,730.0405556
10,1,43,1849,1,2,512,8,1,1,3152,3,2812,4,4,5,1000022108,1.02168E+15,1,0,3,20,3,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82020,5,5,4,4,2,1,1,1,9,9,6,9,9,9,9,6,6,8,8,8,8,7,7,1,184,133775008,0,0,0,83500008,0,90000000,0,0,20275000,30000000,20275000,1,1121,2,246329000,5,22,20,246329000,10,230339000,15990000,563.6274844
13,1,46,2116,1,2,106,5,2,1,8229,11,2411,19,4,7,1000022117,1.02168E+15,1,0,3,14,3,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,72021,4,4,3,3,1,0,0,1,9,9,3,8,8,8,8,3,2,8,8,8,8,3,3,4,184,83175000,0,0,0,40606000,8349000,42300000,0,0,16220000,18000000,16220000,1,1121,2,213804000,2,22,20,213804000,7,181428000,32376000,563.6274844
16,1,49,2401,1,2,106,5,1,1,8322,8,6023,9,2,2,1000023057,1.02168E+15,1,0,3,18,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,72030,4,4,3,3,1,2,2,2,8,8,4,8,8,8,8,3,3,8,7,7,7,4,4,2,184,90680000,0,0,0,12000000,0,12000000,33000000,0,21680000,24000000,21680000,1,1112,3,191920000,4,23,21,191920000,8,152560000,39360000,730.0405556
17,1,64,4096,1,2,214,6,1,1,5220,5,5222,7,2,2,1000019171,1.02168E+15,1,0,3,20,3,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,81091,3,3,3,3,1,1,1,1,8,8,9,8,8,8,7,9,9,7,7,7,7,9,9,5,184,506895000,0,0,0,0,0,0,456000000,0,14895000,36000000,14895000,1,1121,3,181923000,3,19,17,181923000,10,141519000,40404000,563.6274844
18,1,47,2209,1,2,313,6,1,1,4190,4,7511,12,3,3,1000019173,1.02168E+15,1,0,3,22,3,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,1,24,81091,4,4,4,4,2,1,1,1,7,7,8,7,6,7,6,8,8,6,6,6,6,8,8,5,184,189680004,87740004,22080000,99180000,0,0,0,0,0,19860000,60000000,19860000,1,1121,3,146966500,2,19,17,146966500,10,125342500,21624000,563.6274844
21,1,66,4356,2,0,0,0,1,1,7123,7,4521,6,1,1,1000023060,1.02168E+15,1,0,3,18,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82030,4,4,2,2,0,3,3,3,6,6,9,6,6,6,6,9,9,5,5,5,5,9,9,3,184,273520000,52280000,12420000,54800000,0,0,0,153600000,0,36380000,18840000,21680000,1,1112,3,134939000,3,23,21,134939000,8,96491000,38448000,730.0405556
22,1,50,2500,1,1,106,5,1,1,7133,7,4521,6,1,1,1000023064,1.02168E+15,1,0,3,20,3,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82030,5,5,5,5,4,1,1,1,7,7,6,7,6,7,6,6,5,6,6,6,6,6,6,3,184,124000000,0,0,0,0,0,0,60000000,0,40000000,24000000,27100000,1,1112,3,148442500,2,23,21,148442500,10,118550500,29892000,730.0405556
23,1,35,1225,1,2,106,5,1,1,7218,7,5020,7,2,2,1000023068,1.02168E+15,3,0,3,3,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,4,0,0,0,0,0,14,1,0,24,82030,4,4,3,3,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,3,184,57760000,0,0,0,0,0,0,36000000,0,21760000,0,14560000,1,1112,3,70622000,1,23,21,70622000,3,47810000,22812000,730.0405556
24,1,33,1089,1,2,106,5,1,1,9152,9,4100,5,4,5,1000024098,1.02168E+15,3,0,3,12,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82040,4,4,3,3,1,1,1,1,8,8,6,8,7,8,7,6,6,7,7,7,7,7,7,5,184,133860000,0,0,0,67260000,19560000,72000000,0,0,47040000,0,21840000,1,1121,4,181658500,5,24,22,181658500,5,106706500,74952000,563.6274844
27,1,34,1156,1,2,214,6,1,1,7126,7,4521,6,4,5,1000024105,1.02168E+15,3,0,3,2,3,4,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,4,1,0,0,0,0,14,1,0,24,82040,3,3,2,2,0,1,1,1,4,5,2,4,3,4,4,2,1,3,3,4,4,2,2,5,184,67320000,0,0,0,45900000,0,45900000,3600000,0,17820000,0,16380000,1,1121,4,103106000,2,24,22,91056000,2,71099000,32007000,563.6274844
